"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWoningwaarde_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"EigenWoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"EigenWoning_62";"PercentageWoningenMetStadsverwarming_63";"AantalInkomensontvangers_64";"GemiddeldInkomenPerInkomensontvanger_65";"GemiddeldInkomenPerInwoner_66";"k_40PersonenMetLaagsteInkomen_67";"k_20PersonenMetHoogsteInkomen_68";"Actieven1575Jaar_69";"k_40HuishoudensMetLaagsteInkomen_70";"k_20HuishoudensMetHoogsteInkomen_71";"HuishoudensMetEenLaagInkomen_72";"HuishOnderOfRondSociaalMinimum_73";"PersonenPerSoortUitkeringBijstand_74";"PersonenPerSoortUitkeringAO_75";"PersonenPerSoortUitkeringWW_76";"PersonenPerSoortUitkeringAOW_77";"BedrijfsvestigingenTotaal_78";"ALandbouwBosbouwEnVisserij_79";"BFNijverheidEnEnergie_80";"GIHandelEnHoreca_81";"HJVervoerInformatieEnCommunicatie_82";"KLFinancieleDienstenOnroerendGoed_83";"MNZakelijkeDienstverlening_84";"RUCultuurRecreatieOverigeDiensten_85";"PersonenautoSTotaal_86";"PersonenautoSJongerDan6Jaar_87";"PersonenautoS6JaarEnOuder_88";"PersonenautoSBrandstofBenzine_89";"PersonenautoSOverigeBrandstof_90";"PersonenautoSPerHuishouden_91";"PersonenautoSNaarOppervlakte_92";"Bedrijfsmotorvoertuigen_93";"Motorfietsen_94";"AfstandTotHuisartsenpraktijk_95";"AfstandTotGroteSupermarkt_96";"AfstandTotKinderdagverblijf_97";"AfstandTotSchool_98";"ScholenBinnen3Km_99";"OppervlakteTotaal_100";"OppervlakteLand_101";"OppervlakteWater_102";"MeestVoorkomendePostcode_103";"Dekkingspercentage_104";"MateVanStedelijkheid_105";"Omgevingsadressendichtheid_106";"TotaalDiefstalUitWoningSchuurED_107";"VernielingMisdrijfTegenOpenbareOrde_108";"GeweldsEnSeksueleMisdrijven_109"
"5705";"GM0518    ";"'s-Gravenhage                           ";"Gemeente  ";"GM0518    ";".";"  519988";"  257042";"  262946";"   91563";"   62989";"  160168";"  132008";"   73260";"  288806";"  160777";"   49920";"   20485";"   88381";"  181938";"   30540";"   12527";"   46695";"   39097";"   53079";"    6809";"      13";"    4271";"       8";"  255785";"  121379";"   54597";"   79809";"     2.0";"    6288";"  253210";"     188";"      21";"      79";"      91";"       9";"      42";"      55";"      31";"      25";"       3";"      85";"      15";"    2460";"    2170";"    3390";"    3680";"    4410";"    5090";"    2120";"    2910";"    1080";"    1050";"    1190";"    1370";"    1390";"    2070";"     970";"    1260";"     8.8";"  386100";"    32.3";"    24.9";"    41.5";"    20.8";"    56.8";"    49.1";"    16.8";"    13.7";"    12.7";"   27590";"   23340";"   12270";"   70650";"   46785";"    1555";"    7865";"    9160";"    3800";"    3660";"   14035";"    6710";"  179615";"   54905";"  124710";"  150075";"   29540";"     0.7";"    2172";"   17225";"   10180";"     0.5";"     0.5";"     0.4";"     0.5";"    35.4";"    9813";"    8269";"    1544";"         .";"       .";"       1";"    4794";"       5";"       7";"       9"
"5706";"WK051801  ";"'s-Gravenhage                           ";"Wijk      ";"WK051801  ";"1";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"     318";"     308";"      10";"         .";"       .";"       4";"     651";"";"";""
"5707";"BU05180170";"'s-Gravenhage                           ";"Buurt     ";"BU05180170";"1";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"     318";"     308";"      10";"      2597";"       4";"       4";"     651";"";"";""
"5708";"WK051802  ";"'s-Gravenhage                           ";"Wijk      ";"WK051802  ";"1";"    8055";"    3980";"    4075";"    1210";"    1185";"    1815";"    2265";"    1580";"    4195";"    2810";"     665";"     390";"    1905";"     865";"      75";"      80";"     150";"      35";"     520";"      65";"       8";"      85";"      11";"    4180";"    2140";"     990";"    1055";"     1.9";"    7892";"    4102";"     298";"      20";"      80";"      85";"      15";"      58";"      40";"      12";"      28";"       2";"      99";"       1";"    2720";"    2380";"    3830";"    4280";"    5190";"    5230";"    2210";"    3030";"    1450";"    1230";"    2060";"    2740";"    2700";"    3590";"    1240";"    1570";"       .";"    5900";"    43.7";"    34.3";"    36.7";"    33.0";"    55.3";"    40.1";"    27.8";"     6.4";"     6.5";"     110";"     240";"     150";"    1530";"     970";"       5";"      55";"     240";"      70";"     160";"     340";"     105";"    3085";"     985";"    2100";"    2615";"     470";"     0.7";"    3023";"     180";"     205";"     0.8";"     0.5";"     0.4";"     0.5";"    10.4";"     102";"     102";"       0";"         .";"       .";"       2";"    2469";"       3";"      11";"       8"
"5709";"BU05180271";"'s-Gravenhage                           ";"Buurt     ";"BU05180271";"1";"    8055";"    3980";"    4075";"    1210";"    1185";"    1815";"    2265";"    1580";"    4195";"    2810";"     665";"     390";"    1905";"     865";"      75";"      80";"     150";"      35";"     520";"      65";"       8";"      85";"      11";"    4180";"    2140";"     990";"    1055";"     1.9";"    7892";"    4102";"     298";"      20";"      80";"      85";"      15";"      58";"      40";"      12";"      28";"       2";"      99";"       1";"    2720";"    2380";"    3830";"    4280";"    5190";"    5230";"    2210";"    3030";"    1450";"    1230";"    2060";"    2740";"    2700";"    3590";"    1240";"    1570";"       .";"    5900";"    43.7";"    34.3";"    36.7";"    33.0";"    55.3";"    40.1";"    27.8";"     6.4";"     6.5";"     110";"     240";"     150";"    1530";"     970";"       5";"      55";"     240";"      70";"     160";"     340";"     105";"    3085";"     985";"    2100";"    2615";"     470";"     0.7";"    3023";"     180";"     205";"     0.8";"     0.5";"     0.4";"     0.5";"    10.4";"     102";"     102";"       0";"      2587";"       2";"       2";"    2469";"       3";"      11";"       8"
"5710";"WK051803  ";"'s-Gravenhage                           ";"Wijk      ";"WK051803  ";"1";"    1865";"     840";"    1025";"     240";"     165";"     240";"     510";"     715";"     665";"     825";"     185";"     200";"     525";"     145";"       0";"      10";"      10";"       0";"     125";"       5";"       3";"      45";"      25";"     875";"     385";"     280";"     215";"     2.0";"    1089";"    1254";"     574";"      30";"      70";"      68";"      32";"      53";"      28";"       4";"      23";"      20";"      99";"       1";"    3530";"    2880";"    3750";"    4660";"    5110";"    5810";"    2710";"    3910";"    2140";"    1530";"    2430";"    2840";"    3480";"    4790";"    1680";"    2390";"       .";"    1300";"    67.7";"    51.4";"    30.4";"    45.4";"    44.5";"    24.5";"    44.9";"     6.7";"     7.7";"      10";"      40";"      20";"     690";"     235";"       0";"      10";"      20";"      10";"      50";"     130";"      20";"    1010";"     340";"     670";"     855";"     155";"     1.1";"     587";"      25";"      45";"     1.1";"     1.4";"     1.0";"     0.6";"    16.3";"     179";"     172";"       8";"         .";"       .";"       2";"    1708";"      11";"      15";"       4"
"5711";"BU05180373";"'s-Gravenhage                           ";"Buurt     ";"BU05180373";"1";"     815";"     355";"     455";"      95";"      65";"     100";"     195";"     365";"     275";"     370";"      80";"      95";"     210";"      75";"       0";"       5";"       5";"       0";"      65";"       0";"       2";"      20";"      27";"     410";"     200";"     145";"      75";"     1.9";"    1974";"     640";"     558";"      20";"      80";"      60";"      40";"      47";"      32";"       8";"      23";"      21";"      98";"       2";"    3250";"    2740";"    4000";"    5030";"    5630";"    5760";"    2420";"    3560";"    1970";"    1530";"    2590";"    3280";"    3850";"    5010";"    1510";"    2090";"       .";"     600";"    63.2";"    49.2";"    32.2";"    44.7";"    38.2";"    28.8";"    44.8";"     8.2";"    10.8";"       0";"      20";"      10";"     350";"     110";"       0";"       5";"      10";"       5";"      20";"      65";"       5";"     445";"     170";"     275";"     365";"      80";"     1.1";"    1078";"      10";"      10";"     0.8";"     1.3";"     0.9";"     0.8";"    18.4";"      46";"      41";"       5";"      2597";"       4";"       2";"    2432";"       9";"      18";"       7"
"5712";"BU05180374";"'s-Gravenhage                           ";"Buurt     ";"BU05180374";"1";"    1050";"     480";"     570";"     150";"     100";"     140";"     315";"     350";"     390";"     455";"     105";"     105";"     310";"      65";"       0";"       5";"       5";"       0";"      60";"       0";"       3";"      25";"      24";"     465";"     190";"     140";"     140";"     2.1";"     809";"     614";"     589";"      41";"      59";"      75";"      25";"      59";"      23";"       0";"      23";"      18";"      99";"       1";"    3780";"    3050";"    3570";"    4440";"    4980";"    5820";"    2990";"    4190";"    2300";"    1540";"    2340";"    2690";"    3390";"    4750";"    1870";"    2610";"       .";"     700";"    71.3";"    53.1";"    28.9";"    46.1";"    49.1";"    20.8";"    45.0";"     5.3";"     4.9";"      10";"      20";"      10";"     330";"     125";"       0";"       5";"      15";"       5";"      25";"      65";"      15";"     565";"     170";"     395";"     490";"      70";"     1.2";"     432";"      10";"      30";"     1.4";"     1.5";"     1.1";"     0.4";"    14.7";"     133";"     130";"       3";"      2597";"       1";"       3";"    1128";"      12";"      12";"       1"
"5713";"WK051804  ";"'s-Gravenhage                           ";"Wijk      ";"WK051804  ";"1";"   13395";"    6200";"    7195";"    2460";"     965";"    2985";"    3410";"    3585";"    5950";"    5370";"    1015";"    1070";"    3720";"    1465";"      25";"      95";"     115";"      40";"    1185";"     150";"      11";"     245";"      18";"    6455";"    2940";"    1700";"    1820";"     2.0";"    4991";"    7380";"     378";"      29";"      71";"      83";"      17";"      64";"      28";"       1";"      27";"       7";"      98";"       2";"    2910";"    2500";"    3980";"    4370";"    5550";"    5690";"    2610";"    3200";"    1880";"    1580";"    2390";"    3130";"    3580";"    4720";"    1730";"    2000";"       .";"    9400";"    64.7";"    47.8";"    22.5";"    51.1";"    59.9";"    19.9";"    44.8";"     3.5";"     3.1";"      40";"     170";"     140";"    3460";"    1695";"       0";"      55";"     215";"     110";"     275";"     825";"     215";"    5930";"    1800";"    4125";"    5080";"     845";"     0.9";"    2209";"     135";"     200";"     0.7";"     0.6";"     0.5";"     0.6";"    15.6";"     274";"     268";"       6";"         .";"       .";"       2";"    2045";"       6";"       5";"       2"
"5714";"BU05180448";"'s-Gravenhage                           ";"Buurt     ";"BU05180448";"1";"    1535";"     740";"     795";"     285";"     130";"     395";"     420";"     305";"     720";"     670";"      90";"      60";"     470";"     195";"       5";"       5";"      20";"       5";"     155";"      15";"      12";"       5";"       6";"     735";"     315";"     210";"     215";"     2.1";"    5401";"     728";"     467";"      45";"      55";"      86";"      14";"      65";"      34";"       1";"      33";"       1";"     100";"       0";"    3110";"    2170";"    4290";"    4530";"       .";"       .";"    2220";"    3590";"    2120";"    1690";"    2590";"    3220";"       .";"       .";"    1580";"    2350";"       .";"    1100";"    80.5";"    58.3";"    24.5";"    51.2";"    60.0";"    22.3";"    48.2";"     4.5";"     4.1";"      10";"      20";"      20";"     300";"     445";"       0";"      10";"      60";"      30";"      75";"     215";"      60";"     710";"     240";"     470";"     565";"     145";"     1.0";"    2492";"      15";"      25";"     0.4";"     0.3";"     0.2";"     0.5";"    21.8";"      29";"      28";"       0";"      2596";"       1";"       1";"    3197";"       3";"       5";"       5"
"5715";"BU05180475";"'s-Gravenhage                           ";"Buurt     ";"BU05180475";"1";"    1985";"     895";"    1085";"     275";"      90";"     525";"     500";"     595";"     905";"     730";"     205";"     150";"     540";"     250";"       5";"      15";"      15";"      20";"     190";"      25";"      13";"      30";"      17";"    1090";"     590";"     290";"     215";"     1.8";"    6740";"    1245";"     253";"      14";"      86";"      86";"      14";"      72";"      21";"       0";"      21";"       7";"      96";"       4";"    2740";"    2520";"    4010";"    4460";"       .";"       .";"    2640";"    2820";"    1520";"    1350";"    2460";"    2900";"       .";"       .";"    1520";"    1550";"       .";"    1500";"    53.7";"    43.0";"    20.3";"    47.1";"    61.8";"    21.9";"    31.3";"     3.1";"     2.7";"       0";"      40";"      30";"     560";"     200";"       0";"      10";"      30";"      10";"      25";"     105";"      20";"     975";"     295";"     675";"     850";"     125";"     0.9";"    3304";"      20";"      45";"     1.3";"     0.3";"     1.1";"     1.0";"    14.7";"      30";"      29";"       1";"      2597";"       3";"       2";"    1888";"       5";"       3";"       3"
"5716";"BU05180476";"'s-Gravenhage                           ";"Buurt     ";"BU05180476";"1";"    2510";"    1020";"    1490";"     230";"     160";"     310";"     510";"    1305";"     770";"     985";"     265";"     495";"     665";"     245";"       5";"      20";"      25";"      10";"     185";"      15";"       7";"     100";"      40";"    1430";"     835";"     380";"     220";"     1.7";"    3618";"    1743";"     317";"       7";"      93";"      84";"      16";"      59";"      34";"       3";"      31";"       7";"      96";"       4";"    2600";"    2420";"    4120";"    4520";"    5790";"    5390";"    2260";"    2740";"    1840";"    1690";"    2300";"    3320";"    4040";"    5050";"    1670";"    1990";"       .";"    2000";"    53.0";"    45.2";"    24.7";"    46.1";"    48.8";"    19.7";"    35.0";"     3.5";"     3.4";"       0";"      30";"      20";"    1290";"     190";"       0";"      10";"      15";"      10";"      35";"      90";"      30";"    1270";"     385";"     885";"    1125";"     145";"     0.9";"    1825";"      20";"      30";"     0.6";"     0.4";"     0.4";"     1.1";"    10.9";"      70";"      69";"       0";"      2597";"       1";"       3";"    1372";"       9";"       5";"       2"
"5717";"BU05180477";"'s-Gravenhage                           ";"Buurt     ";"BU05180477";"1";"    3755";"    1805";"    1950";"     875";"     290";"     795";"    1070";"     725";"    1760";"    1610";"     220";"     175";"    1045";"     345";"       0";"      25";"      30";"       0";"     285";"      40";"      11";"      30";"       8";"    1620";"     575";"     450";"     605";"     2.3";"    5855";"    1736";"     456";"      54";"      46";"      88";"      12";"      74";"      20";"       0";"      20";"       7";"      98";"       2";"    3290";"    2460";"    3850";"    4400";"    5350";"    6860";"    2990";"    3520";"    2030";"    1540";"    2280";"    3090";"    3440";"    5070";"    1820";"    2130";"       .";"    2500";"    71.5";"    48.5";"    20.7";"    55.1";"    60.0";"    16.2";"    54.4";"     2.9";"     2.5";"      10";"      40";"      30";"     700";"     400";"       0";"      10";"      35";"      35";"      75";"     200";"      45";"    1590";"     470";"    1120";"    1365";"     225";"     1.0";"    2475";"      30";"      55";"     0.4";"     1.0";"     0.5";"     0.4";"    15.5";"      65";"      64";"       0";"      2597";"       5";"       2";"    2000";"       8";"       7";"       1"
"5718";"BU05180478";"'s-Gravenhage                           ";"Buurt     ";"BU05180478";"1";"    1295";"     615";"     680";"     255";"     105";"     295";"     330";"     315";"     585";"     520";"      70";"     125";"     390";"     170";"       0";"      10";"      10";"       0";"     150";"       5";"       5";"      50";"      42";"     540";"     240";"     130";"     180";"     2.2";"    2532";"     883";"     498";"      34";"      66";"      59";"      41";"      39";"      40";"       5";"      35";"      21";"     100";"       0";"    3020";"    2430";"    4020";"    4420";"    6730";"       .";"    2880";"    3790";"    2170";"    1950";"    2410";"    3210";"       .";"       .";"    2370";"    2450";"       .";"     800";"    80.9";"    55.2";"    22.1";"    55.8";"    61.1";"    21.4";"    57.2";"     3.3";"     2.7";"      10";"      10";"      10";"     300";"     190";"       0";"       5";"      15";"      10";"      25";"     110";"      25";"     485";"     150";"     330";"     420";"      65";"     0.9";"     942";"      10";"      20";"     0.6";"     0.8";"     0.6";"     0.6";"    17.7";"      55";"      51";"       4";"      2596";"       1";"       1";"    2699";"       3";"       5";"       2"
"5719";"BU05180479";"'s-Gravenhage                           ";"Buurt     ";"BU05180479";"1";"    2305";"    1115";"    1185";"     535";"     190";"     660";"     580";"     340";"    1215";"     855";"     170";"      70";"     605";"     255";"       0";"      15";"      15";"       5";"     210";"      40";"      17";"      15";"       7";"    1030";"     395";"     250";"     395";"     2.2";"    9004";"    1045";"     374";"      25";"      75";"      89";"      11";"      70";"      27";"       0";"      27";"       3";"     100";"       0";"    3060";"    2770";"    3960";"    3860";"       .";"       .";"    2710";"    3220";"    1920";"    1710";"    2510";"    3050";"       .";"       .";"    1860";"    1960";"       .";"    1600";"    60.1";"    42.5";"    23.5";"    52.7";"    67.2";"    21.1";"    49.2";"     4.0";"     3.6";"      10";"      30";"      20";"     320";"     270";"       0";"      10";"      60";"      15";"      40";"     105";"      35";"     905";"     260";"     645";"     760";"     145";"     0.9";"    3542";"      35";"      25";"     1.0";"     0.5";"     0.4";"     0.3";"    16.6";"      26";"      26";"       0";"      2596";"       1";"       2";"    2340";"       3";"       3";"       0"
"5720";"WK051805  ";"'s-Gravenhage                           ";"Wijk      ";"WK051805  ";"1";"    5835";"    2770";"    3065";"     805";"     515";"    1480";"    1795";"    1240";"    3130";"    1960";"     545";"     205";"    1715";"     660";"      15";"      45";"      90";"      25";"     480";"      50";"       9";"      35";"       6";"    3240";"    1800";"     745";"     695";"     1.8";"    6714";"    3622";"     388";"      24";"      76";"      80";"      20";"      49";"      47";"      14";"      33";"       4";"      94";"       6";"    2460";"    2120";"    3420";"    4400";"    4490";"    4740";"    2020";"    2920";"    1560";"    1360";"    1930";"    2800";"    3080";"    3910";"    1260";"    1840";"       .";"    4300";"    71.1";"    55.2";"    28.0";"    41.9";"    57.8";"    34.5";"    32.9";"     5.9";"     6.1";"      70";"     140";"     100";"    1190";"    1005";"       0";"      45";"     115";"      55";"     160";"     490";"     140";"    3320";"    1420";"    1900";"    2360";"     955";"     1.0";"    3817";"     250";"     205";"     0.4";"     0.7";"     0.4";"     0.5";"    30.8";"      87";"      87";"       0";"         .";"       .";"       1";"    3258";"       5";"       6";"       6"
"5721";"BU05180546";"'s-Gravenhage                           ";"Buurt     ";"BU05180546";"1";"    5835";"    2770";"    3065";"     805";"     515";"    1480";"    1795";"    1240";"    3130";"    1960";"     545";"     205";"    1715";"     660";"      15";"      45";"      90";"      25";"     480";"      50";"       9";"      35";"       6";"    3240";"    1800";"     745";"     695";"     1.8";"    6714";"    3622";"     388";"      24";"      76";"      80";"      20";"      49";"      47";"      14";"      33";"       4";"      94";"       6";"    2460";"    2120";"    3420";"    4400";"    4490";"    4740";"    2020";"    2920";"    1560";"    1360";"    1930";"    2800";"    3080";"    3910";"    1260";"    1840";"       .";"    4300";"    71.1";"    55.2";"    28.0";"    41.9";"    57.8";"    34.5";"    32.9";"     5.9";"     6.1";"      70";"     140";"     100";"    1190";"    1005";"       0";"      45";"     115";"      55";"     160";"     490";"     140";"    3320";"    1420";"    1900";"    2360";"     955";"     1.0";"    3817";"     250";"     205";"     0.4";"     0.7";"     0.4";"     0.5";"    30.8";"      87";"      87";"       0";"      2585";"       1";"       1";"    3258";"       5";"       6";"       6"
"5722";"WK051806  ";"'s-Gravenhage                           ";"Wijk      ";"WK051806  ";"1";"     775";"     360";"     410";"     125";"      65";"     135";"     210";"     240";"     345";"     285";"      70";"      80";"     235";"      75";"       5";"       5";"       5";"       0";"      60";"       0";"       4";"      30";"      40";"     345";"     170";"      80";"     100";"     2.0";"     715";"     461";"     575";"      25";"      75";"      69";"      31";"      45";"      36";"      10";"      25";"      19";"      95";"       5";"    3090";"    2490";"    4880";"    4990";"    3880";"    6040";"    2710";"    3480";"    2130";"    1590";"    2740";"    3280";"    3780";"    5940";"    2010";"    2470";"       .";"     500";"    74.3";"    53.1";"    29.0";"    40.3";"    54.2";"    31.2";"    39.4";"     3.0";"     3.7";"       0";"      10";"      10";"     240";"     150";"       0";"       5";"      15";"      15";"      30";"      50";"      35";"     360";"     120";"     240";"     295";"      65";"     1.0";"     330";"      15";"      15";"     0.7";"     1.0";"     0.3";"     0.7";"    18.9";"     111";"     108";"       3";"         .";"       .";"       1";"    3279";"       0";"      12";"       9"
"5723";"BU05180605";"'s-Gravenhage                           ";"Buurt     ";"BU05180605";"1";"     775";"     360";"     410";"     125";"      65";"     135";"     210";"     240";"     345";"     285";"      70";"      80";"     235";"      75";"       5";"       5";"       5";"       0";"      60";"       0";"       4";"      30";"      40";"     345";"     170";"      80";"     100";"     2.0";"     715";"     461";"     575";"      25";"      75";"      69";"      31";"      45";"      36";"      10";"      25";"      19";"      95";"       5";"    3090";"    2490";"    4880";"    4990";"    3880";"    6040";"    2710";"    3480";"    2130";"    1590";"    2740";"    3280";"    3780";"    5940";"    2010";"    2470";"       .";"     500";"    74.3";"    53.1";"    29.0";"    40.3";"    54.2";"    31.2";"    39.4";"     3.0";"     3.7";"       0";"      10";"      10";"     240";"     150";"       0";"       5";"      15";"      15";"      30";"      50";"      35";"     360";"     120";"     240";"     295";"      65";"     1.0";"     330";"      15";"      15";"     0.7";"     1.0";"     0.3";"     0.7";"    18.9";"     111";"     108";"       3";"      2585";"       3";"       1";"    3279";"       0";"      12";"       9"
"5724";"WK051807  ";"'s-Gravenhage                           ";"Wijk      ";"WK051807  ";"1";"   16900";"    8265";"    8635";"    2385";"    1675";"    4925";"    4565";"    3350";"    9050";"    5185";"    1650";"    1025";"    3140";"    1795";"     120";"     160";"     330";"      70";"    1110";"     170";"      10";"     170";"      10";"    9085";"    4645";"    2160";"    2285";"     1.8";"    7975";"    9791";"     215";"      18";"      82";"      84";"      16";"      46";"      49";"      21";"      28";"       5";"      94";"       6";"    2350";"    2260";"    2620";"    3260";"    3780";"    4060";"    2070";"    2640";"    1280";"    1220";"    1470";"    1770";"    2250";"    2190";"    1170";"    1390";"       .";"   13100";"    34.1";"    27.6";"    39.4";"    22.9";"    58.3";"    48.4";"    17.4";"    10.9";"    10.3";"     620";"     660";"     360";"    3260";"    2195";"      10";"     295";"     470";"     165";"     255";"     670";"     330";"    6000";"    1670";"    4330";"    5170";"     830";"     0.7";"    2831";"     710";"     480";"     0.4";"     0.5";"     0.4";"     0.7";"    15.0";"     212";"     212";"       0";"         .";"       .";"       1";"    3850";"       4";"       8";"       8"
"5725";"BU05180701";"'s-Gravenhage                           ";"Buurt     ";"BU05180701";"1";"    2870";"    1455";"    1410";"     360";"     250";"     895";"     845";"     520";"    1565";"     890";"     280";"     135";"     375";"     245";"      15";"      25";"      50";"      20";"     130";"      30";"      11";"      25";"      10";"    1595";"     855";"     375";"     375";"     1.8";"   11377";"    1672";"     173";"      24";"      76";"      90";"      10";"      43";"      54";"      31";"      22";"       3";"      95";"       5";"    2150";"    2030";"    2420";"    2890";"    3150";"       .";"    1970";"    2380";"    1180";"    1110";"    1330";"    1600";"    1700";"       .";"    1090";"    1280";"       .";"    2300";"    30.0";"    24.9";"    41.4";"    18.5";"    58.2";"    52.1";"    13.0";"    11.6";"    10.3";"     120";"     160";"      70";"     510";"     320";"       0";"      55";"      60";"      30";"      20";"     110";"      45";"     995";"     275";"     725";"     875";"     120";"     0.6";"    3945";"     105";"      95";"     0.4";"     0.4";"     0.2";"     1.1";"    14.6";"      25";"      25";"       0";"      2584";"       2";"       1";"    3752";"       5";"       9";"       5"
"5726";"BU05180702";"'s-Gravenhage                           ";"Buurt     ";"BU05180702";"1";"    3210";"    1545";"    1665";"     485";"     315";"     875";"     860";"     675";"    1660";"     975";"     335";"     250";"     495";"     345";"      25";"      40";"      75";"       5";"     195";"      35";"      12";"      50";"      17";"    1615";"     750";"     400";"     470";"     1.9";"    4071";"    1869";"     185";"       2";"      98";"      82";"      18";"      38";"      53";"      30";"      23";"       9";"      79";"      21";"    2330";"    2320";"    2880";"       .";"       .";"       .";"    2040";"    2690";"    1070";"    1070";"    1270";"       .";"       .";"       .";"    1070";"    1060";"       .";"    2400";"    31.3";"    25.1";"    44.7";"    20.2";"    55.3";"    51.4";"    16.2";"    16.1";"    14.3";"     200";"     140";"      70";"     670";"     615";"       5";"      90";"     145";"      45";"      95";"     155";"      70";"    1230";"     390";"     840";"    1040";"     190";"     0.8";"    1560";"     265";"      95";"     0.6";"     0.5";"     0.4";"     0.8";"    20.5";"      79";"      79";"       0";"      2583";"       1";"       1";"    3473";"       3";"      10";"      10"
"5727";"BU05180703";"'s-Gravenhage                           ";"Buurt     ";"BU05180703";"1";"    5435";"    2710";"    2720";"     760";"     575";"    1760";"    1440";"     900";"    3085";"    1625";"     495";"     235";"    1135";"     625";"      30";"      50";"      85";"      25";"     430";"      60";"      12";"      30";"       6";"    3035";"    1605";"     735";"     705";"     1.8";"    9911";"    3233";"     231";"      23";"      77";"      80";"      20";"      55";"      42";"       9";"      33";"       4";"      98";"       2";"    2370";"    2310";"    2580";"    2840";"       .";"       .";"    2050";"    2630";"    1360";"    1350";"    1400";"    1570";"       .";"       .";"    1280";"    1440";"       .";"    4200";"    36.4";"    29.3";"    35.0";"    26.9";"    61.2";"    43.3";"    19.8";"     9.2";"     8.3";"     120";"     170";"     130";"     860";"     715";"       0";"      75";"     160";"      55";"      90";"     215";"     120";"    1985";"     540";"    1445";"    1705";"     285";"     0.7";"    3623";"     175";"     170";"     0.3";"     0.6";"     0.3";"     0.6";"    12.1";"      55";"      55";"       0";"      2586";"       1";"       1";"    3835";"       4";"       9";"      12"
